ccode,team,year,season,n_ath,gold,silver,bronze,total,cw_name,mrgdppc,sd_mrgdppc,pwtrgdp,sd_pwtrgdp,pwtpop,sd_pwtpop,euds,aeuds,polity2,v2x_polyarchy
331,San Marino,1994,Winter,3,0,0,0,0,San Marino,37559.196998913656,27731.806195508125,1111.497001813921,997.0763819323804,0.025856241092853616,0.0018790457545129393,1.233479703519788,0.42575014691902324,NA,NA
331,San Marino,1996,Summer,7,0,0,0,0,San Marino,38445.07144398371,28355.95242361288,1136.3019090126525,989.6869564425145,0.026381615296636306,0.0019202440457596116,1.4853082781220366,0.6775787215212719,NA,NA
331,San Marino,2000,Summer,4,0,0,0,0,San Marino,42648.42383844022,31042.80906737757,1320.2262004673794,1198.4987550332971,0.027732946331191225,0.0020338974326072983,1.5842446696440586,0.7765151130432939,NA,NA
331,San Marino,2002,Winter,1,0,0,0,0,San Marino,44801.728592092746,32574.46229372616,1412.3409635911573,1165.5238184567595,0.02840790098561965,0.0020299222252931353,1.7391305046132683,0.9314009480125036,NA,NA
331,San Marino,2004,Summer,5,0,0,0,0,San Marino,46669.42267943889,33888.66365802713,1592.6224755841774,1492.7935960210482,0.02915308728843242,0.002113318225889252,1.6092987317877003,0.8015691751869356,NA,NA
331,San Marino,2006,Winter,1,0,0,0,0,San Marino,48082.296226189086,35507.92993033121,1606.4565244489245,1457.685257163902,0.030058346816680397,0.002253191644975208,1.8960179276916218,1.088288371090857,NA,NA
331,San Marino,2008,Summer,4,0,0,0,0,San Marino,46791.46572151889,34012.761350363624,1649.5624029794851,1417.2972776210647,0.030811874701639454,0.0022526730931770114,2.0895170893674995,1.2817875327667347,NA,NA
331,San Marino,2010,Winter,1,0,0,0,0,San Marino,40933.51675462157,30245.513354795905,1425.7105750746869,1168.2368125599037,0.031402847570573565,0.0023129944212004253,1.8950763589630195,1.0873468023622548,NA,NA
331,San Marino,2012,Summer,4,0,0,0,0,San Marino,35998.250642120234,26221.534183469466,1328.5786611194653,1184.6026804364576,0.03222008556665626,0.0023525363464322823,2.088089102273427,1.2803595456726624,NA,NA
331,San Marino,2014,Winter,2,0,0,0,0,San Marino,33929.46537543975,24755.37177374935,1257.9669911726999,1138.9909192424532,0.03290736473563136,0.002375941701416041,1.8929698707466944,1.0852403141459297,NA,NA
331,San Marino,2016,Summer,4,0,0,0,0,San Marino,33690.838709272895,24739.835850652926,1261.4461466220828,1078.741503373198,0.03338238462062145,0.002441718101383579,2.088089102273427,1.2803595456726624,NA,NA
403,Sao Tome and Principe,1996,Summer,2,0,0,0,0,Sao Tome and Principe,2002.1052220961062,311.73478841440806,302.41069715040754,128.04550789461845,0.132291336650704,0.009055053743113873,1.2349244519961489,0.42719489539538413,NA,0.642
403,Sao Tome and Principe,2000,Summer,2,0,0,0,0,Sao Tome and Principe,2127.862820059069,334.828898080574,343.739279822448,144.73708195540794,0.1415500468879947,0.009817215400009445,1.3360396918628326,0.5283101352620678,NA,0.647
403,Sao Tome and Principe,2004,Summer,2,0,0,0,0,Sao Tome and Principe,2338.658349069333,354.8266342350951,406.4517428761099,175.01117559297833,0.15473036864930909,0.010758315944034962,1.2617885116853376,0.45405895508457284,NA,0.665
403,Sao Tome and Principe,2008,Summer,3,0,0,0,0,Sao Tome and Principe,2679.4799988840236,422.6795091280792,526.1548455081489,230.62152757864132,0.17036168317617836,0.01198577453448679,1.3127370414795887,0.505007484878824,NA,0.656
403,Sao Tome and Principe,2012,Summer,2,0,0,0,0,Sao Tome and Principe,3083.8143343538886,480.61182539195687,652.6646002160163,282.233811458113,0.1872366035268276,0.012942833669312504,1.3253628561350348,0.5176332995342701,NA,0.682
403,Sao Tome and Principe,2016,Summer,3,0,0,0,0,Sao Tome and Principe,3334.2052955235995,508.65773599106075,758.396764749308,321.49768182434946,0.20100633356206732,0.014218631248527536,1.3084543517838108,0.500724795183046,NA,0.684
670,Saudi Arabia,1972,Summer,10,0,0,0,0,Saudi Arabia,22494.258289639045,3585.31613522353,164975.10255786215,70789.16827956749,6.457426657320495,0.44070525266399724,-0.8094923694624669,-1.6172219260632317,-10,0.014
670,Saudi Arabia,1976,Summer,14,0,0,0,0,Saudi Arabia,31181.16852643077,4890.981775411725,276739.6453984452,120485.63933552882,7.889701206588443,0.5442055732758144,-0.7824832186688268,-1.5902127752695914,-10,0.012
670,Saudi Arabia,1984,Summer,37,0,0,0,0,Saudi Arabia,22767.902470796133,3523.7429071167508,323674.68900206534,139643.17696711095,12.611711618628442,0.8637965617536264,-0.9372858577732864,-1.745015414374051,-10,0.014
670,Saudi Arabia,1988,Summer,9,0,0,0,0,Saudi Arabia,18075.746243562066,2854.043081479719,317227.45722453075,138367.35460688118,15.265820093737238,1.0218405177632506,-0.9544651041717257,-1.7621946607724905,-10,0.014
670,Saudi Arabia,1992,Summer,9,0,0,0,0,Saudi Arabia,21532.423295831384,3460.4612603150476,417150.1859042414,179331.58424241844,17.36973743725566,1.1839225833620683,-1.7574014841420627,-2.5651310407428274,-10,0.014
